# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
39,Pre-Flop,1,1712,-1712,FOLD,0,"['6d', '5s']","['4s', 'Ah']","['4d', '7h']",,5h,2,2
40,Pre-Flop,0,1714,-1714,RAISE,98,"['7d', '3s']","['Ad', '7s']","['6s', '6d']",,,1,1
40,Pre-Flop,1,1714,-1714,DISCARD,0,"['7d', '3s']","['Ad', '7s']","['6s', '6d']",,,2,2
40,Pre-Flop,1,1714,-1714,CALL,0,"['7d', '3s']","['8h', '7s']","['6s', '6d']",,Ad,2,2
40,Flop,0,1714,-1714,CHECK,0,"['7d', '3s']","['8h', '7s']","['6s', '6d', '5s']",,Ad,100,100
40,Flop,1,1714,-1714,CHECK,0,"['7d', '3s']","['8h', '7s']","['6s', '6d', '5s']",,Ad,100,100
40,Turn,0,1714,-1714,CHECK,0,"['7d', '3s']","['8h', '7s']","['6s', '6d', '5s', '9h']",,Ad,100,100
40,Turn,1,1714,-1714,CHECK,0,"['7d', '3s']","['8h', '7s']","['6s', '6d', '5s', '9h']",,Ad,100,100
40,River,0,1714,-1714,CHECK,0,"['7d', '3s']","['8h', '7s']","['6s', '6d', '5s', '9h', '5h']",,Ad,100,100
40,River,1,1714,-1714,CHECK,0,"['7d', '3s']","['8h', '7s']","['6s', '6d', '5s', '9h', '5h']",,Ad,100,100
41,Pre-Flop,1,1614,-1614,RAISE,35,"['2d', '3h']","['Ad', '7d']","['4s', '8d']",,,1,1
41,Pre-Flop,0,1614,-1614,RAISE,63,"['2d', '3h']","['Ad', '7d']","['4s', '8d']",,,2,2
41,Pre-Flop,1,1614,-1614,FOLD,0,"['2d', '3h']","['Ad', '7d']","['4s', '8d']",,,37,37
42,Pre-Flop,0,1651,-1651,RAISE,98,"['7h', '7d']","['6h', '4s']","['8s', '5h']",,,1,1
42,Pre-Flop,1,1651,-1651,CALL,0,"['7h', '7d']","['6h', '4s']","['8s', '5h']",,,2,2
42,Flop,0,1651,-1651,CHECK,0,"['7h', '7d']","['6h', '4s']","['8s', '5h', '6s']",,,100,100
42,Flop,1,1651,-1651,DISCARD,0,"['7h', '7d']","['6h', '4s']","['8s', '5h', '6s']",,,100,100
42,Flop,1,1651,-1651,CHECK,0,"['7h', '7d']","['6d', '4s']","['8s', '5h', '6s']",,6h,100,100
42,Turn,0,1651,-1651,CHECK,0,"['7h', '7d']","['6d', '4s']","['8s', '5h', '6s', '5s']",,6h,100,100
42,Turn,1,1651,-1651,FOLD,0,"['7h', '7d']","['6d', '4s']","['8s', '5h', '6s', '5s']",,6h,100,100
43,Pre-Flop,1,1751,-1751,RAISE,19,"['2h', '3d']","['9h', '7h']","['6s', '5h']",,,1,1
43,Pre-Flop,0,1751,-1751,RAISE,79,"['2h', '3d']","['9h', '7h']","['6s', '5h']",,,2,2
43,Pre-Flop,1,1751,-1751,DISCARD,0,"['2h', '3d']","['9h', '7h']","['6s', '5h']",,,21,21
43,Pre-Flop,1,1751,-1751,CALL,0,"['2h', '3d']","['7d', '7h']","['6s', '5h']",,9h,21,21
43,Pre-Flop,0,1751,-1751,CHECK,0,"['2h', '3d']","['7d', '7h']","['6s', '5h']",,9h,100,100
43,Flop,1,1751,-1751,CHECK,0,"['2h', '3d']","['7d', '7h']","['6s', '5h', '2s']",,9h,100,100
43,Flop,0,1751,-1751,CHECK,0,"['2h', '3d']","['7d', '7h']","['6s', '5h', '2s']",,9h,100,100
43,Turn,1,1751,-1751,CHECK,0,"['2h', '3d']","['7d', '7h']","['6s', '5h', '2s', '3s']",,9h,100,100
43,Turn,0,1751,-1751,CHECK,0,"['2h', '3d']","['7d', '7h']","['6s', '5h', '2s', '3s']",,9h,100,100
